GeneID,083T,128T,135T,147T,157T,168T
Ackr2,8,8,0,10,0,0
Ackr3,12,7,9,8,8,13
Ackr4,11,10,6,7,7,0
Acly,19,17,15,11,8,11
Acmsd,6,6,8,9,0,0
Acnat1,10,7,7,8,12,12
Acnat2,9,8,10,8,12,0
Aco1,12,16,9,6,9,6
Aco2,15,18,12,18,30,8
Acod1,0,7,0,6,0,0
Acot1,7,0,7,0,7,7
Acot10,12,8,7,7,6,0
Acot11,60,52,64,44,56,54
Acot12,7,0,7,7,6,0
Acot13,8,6,6,10,7,8
Acot2,8,0,0,0,8,0
Acot3,16,0,0,12,14,24
Acot4,0,7,6,0,0,0
Acot5,6,0,0,10,7,0
Acot6,7,6,6,0,7,0
Acot7,0,21,23,0,0,33
Acot8,0,0,8,6,6,6
Acot9,18,9,0,6,10,0
Acox1,18,24,8,20,12,8
Acox2,18,10,0,8,7,6
Acox3,8,6,7,0,7,0
Acoxl,7,13,12,11,8,11
Acp1,14,0,5,10,8,7
Acp2,19,15,8,8,14,15
Acp4,16,22,6,7,15,6
Acp5,6,6,0,0,9,0
Acp6,6,10,6,6,0,0
Acp7,0,10,8,7,0,7
Acpp,6,9,10,11,0,9
Acr,84,64,148,64,72,0
Acrbp,164,64,48,72,64,64
Acsbg1,8,17,11,7,9,5
Acsbg2,6,6,0,13,10,0
Acsbg3,7,11,7,0,10,6
Acsf2,24,17,11,19,22,10
Acsf3,7,6,0,8,11,0
Acsl1,17,9,9,8,9,7
Acsl3,120,144,72,180,216,68
Acsl4,11,11,6,6,6,8
Acsl5,11,10,9,10,7,0
Acsl6,10,6,7,10,10,10
Acsm1,9,6,7,6,8,6
Acsm2,36,48,32,24,24,28
Acsm3,22,21,17,8,9,12
Acsm4,19,16,9,8,10,7
Acsm5,13,6,14,7,0,6
Acss1,11,9,0,10,11,8
Acss2,9,15,9,8,12,15
Acss3,14,12,12,0,20,12
Acta1,11,0,7,6,9,7
Acta2,7,13,6,20,13,7
Actb,8,0,0,0,0,0
Actbl2,7,11,0,0,7,0
Actc1,0,6,0,6,6,9
Acte1,0,0,21,12,12,10
Actg1,18,20,0,15,0,0
Actg2,7,10,0,5,0,0
Actl10,7,11,0,7,15,11
Actl11,8,11,7,7,7,9
Actl6a,14,10,9,6,8,6
Actl6b,9,0,7,9,9,11
Actl7a,6,5,15,0,10,8
Actl7b,6,10,20,0,7,9
Actl9,0,0,0,0,6,0
Actn1,8,12,7,13,10,9
Actn2,9,10,8,6,11,7
Actn3,11,14,18,9,9,10
Actn4,160,88,216,88,168,120
Actr10,19,13,22,12,13,14
